,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
365,23075,13,15,24,28,30,31,01
366,23074,02,08,09,18,19,21,03
367,23073,01,03,15,16,25,32,10
368,23072,02,06,10,24,25,33,09
369,23071,05,12,15,19,24,26,06
370,23070,03,05,25,31,32,33,04
371,23069,12,14,17,20,21,26,02
372,23068,11,12,15,18,29,33,02
373,23067,01,03,12,19,28,32,14
374,23066,02,07,08,10,26,31,06
375,23065,02,14,17,20,26,33,14
376,23064,01,07,11,12,16,18,04
377,23063,04,08,17,20,22,27,13
378,23062,11,19,23,24,26,33,15
379,23061,01,04,06,11,12,22,15
380,23060,09,11,17,19,30,31,11
381,23059,02,06,13,22,27,32,06
382,23058,10,17,22,26,30,33,11
383,23057,02,05,10,17,24,32,03
384,23056,08,14,15,18,23,33,08
385,23055,03,04,20,23,27,32,13
386,23054,05,06,09,10,15,26,12
387,23053,01,07,14,20,27,30,15
388,23052,03,04,05,08,12,17,06
389,23051,22,26,29,30,32,33,14
390,23050,02,07,09,14,22,23,05
391,23049,05,07,14,23,25,27,02
392,23048,02,03,10,24,28,30,08
393,23047,05,07,14,23,31,33,07
394,23046,06,08,17,25,26,28,03
395,23045,03,06,12,21,27,28,04
396,23044,02,08,15,22,24,26,16
397,23043,05,08,12,20,24,28,10
398,23042,10,17,20,23,27,30,10
399,23041,01,06,12,13,15,24,06
400,23040,09,16,17,24,29,31,08
401,23039,02,03,09,13,19,28,09
402,23038,02,09,14,17,31,33,08
403,23037,08,23,25,26,29,31,12
404,23036,13,14,18,19,24,30,09
405,23035,01,04,09,10,20,33,06
406,23034,02,03,09,11,12,17,15
407,23033,08,09,13,23,24,26,05
408,23032,06,19,20,26,28,33,01
409,23031,07,14,27,29,31,33,05
410,23030,02,03,07,16,30,31,06
411,23029,03,07,12,24,28,33,08
412,23028,05,07,10,17,20,22,14
413,23027,08,10,22,27,32,33,08
414,23026,01,18,26,30,31,33,03
